onset	duration	nwb_table	angle	cycles_per_second	cycles_per_degree	amplitude	movie_number
747.723001	165.3184	epochs					
749.715400000001	2.000500000001921	trials	270.0	1.0	0.05	1.0	0.0
753.7163999999975	1.9922000000005937	trials	45.0	1.0	0.05	1.0	0.0
757.7173000000039	1.9922999999980675	trials	315.0	1.0	0.05	1.0	0.0
761.7183000000005	1.9922999999980675	trials	225.0	1.0	0.05	1.0	0.0
765.719299999997	1.9923000000053435	trials	360.0	1.0	0.05	1.0	0.0
769.7203000000009	1.9922999999980675	trials	315.0	1.0	0.05	1.0	0.0
773.7212999999974	1.9923000000053435	trials	90.0	1.0	0.05	1.0	0.0
777.7223000000013	1.9922999999980675	trials	360.0	1.0	0.05	1.0	0.0
781.7234000000026	1.9841000000014901	trials	270.0	1.0	0.05	1.0	0.0
785.7243999999992	1.9841000000014901	trials	360.0	1.0	0.05	1.0	0.0
789.725400000003	1.9840999999942142	trials	135.0	1.0	0.05	1.0	0.0
793.7263999999996	1.984199999998964	trials	180.0	1.0	0.05	1.0	0.0
797.7275000000009	1.9841000000014901	trials	225.0	1.0	0.05	1.0	0.0
801.7284999999974	2.0005999999993946	trials	180.0	1.0	0.05	1.0	0.0
805.7295999999988	2.000500000001921	trials	180.0	1.0	0.05	1.0	0.0
809.7307000000001	2.000500000001921	trials	180.0	1.0	0.05	1.0	0.0
813.7317000000039	1.9922999999980675	trials	315.0	1.0	0.05	1.0	0.0
817.732799999998	1.9922999999980675	trials	135.0	1.0	0.05	1.0	0.0
821.7338999999993	1.9922999999980675	trials	135.0	1.0	0.05	1.0	0.0
825.7349000000031	1.9923999999955413	trials	360.0	1.0	0.05	1.0	0.0
829.7359999999971	1.9923000000053435	trials	45.0	1.0	0.05	1.0	0.0
833.7370999999985	1.9922999999980675	trials	90.0	1.0	0.05	1.0	0.0
837.7381999999998	1.9922999999980675	trials	270.0	1.0	0.05	1.0	0.0
841.7393000000011	1.9841000000014901	trials	315.0	1.0	0.05	1.0	0.0
845.7404000000024	1.9840999999942142	trials	90.0	1.0	0.05	1.0	0.0
849.7415000000037	1.9840999999942142	trials	315.0	1.0	0.05	1.0	0.0
853.7425999999978	1.9841000000014901	trials	270.0	1.0	0.05	1.0	0.0
857.7436999999991	2.000500000001921	trials	90.0	1.0	0.05	1.0	0.0
861.7448000000004	2.000500000001921	trials	225.0	1.0	0.05	1.0	0.0
865.7459000000017	2.000500000001921	trials	90.0	1.0	0.05	1.0	0.0
869.747000000003	2.000499999994645	trials	135.0	1.0	0.05	1.0	0.0
873.7480999999971	1.9923000000053435	trials	45.0	1.0	0.05	1.0	0.0
877.7491999999984	1.9924000000028173	trials	180.0	1.0	0.05	1.0	0.0
881.7502999999997	1.9924000000028173	trials	135.0	1.0	0.05	1.0	0.0
885.751400000001	1.9923999999955413	trials	270.0	1.0	0.05	1.0	0.0
889.7525999999998	1.9922999999980675	trials	360.0	1.0	0.05	1.0	0.0
893.7537000000011	1.9922999999980675	trials	225.0	1.0	0.05	1.0	0.0
897.7548000000024	1.9923999999955413	trials	225.0	1.0	0.05	1.0	0.0
901.7559000000037	1.984199999998964	trials	45.0	1.0	0.05	1.0	0.0
905.7571000000025	1.9841000000014901	trials	45.0	1.0	0.05	1.0	0.0
959.369	170.63040000000012	epochs					
961.3614000000016	2.000500000001921	trials	180.0	1.0	0.05	1.0	1.0
965.3623999999982	1.9924000000028173	trials	45.0	1.0	0.05	1.0	1.0
969.3634999999995	1.9922999999980675	trials	270.0	1.0	0.05	1.0	1.0
973.364499999996	1.9923000000053435	trials	360.0	1.0	0.05	1.0	1.0
977.3654999999999	1.9922999999980675	trials	45.0	1.0	0.05	1.0	1.0
981.3665000000037	1.9922999999980675	trials	315.0	1.0	0.05	1.0	1.0
985.3675000000003	1.9924000000028173	trials	360.0	1.0	0.05	1.0	1.0
989.3686000000016	1.9841000000014901	trials	225.0	1.0	0.05	1.0	1.0
993.3695999999982	1.9841000000014901	trials	225.0	1.0	0.05	1.0	1.0
997.3706999999995	1.9841000000014901	trials	90.0	1.0	0.05	1.0	1.0
1001.3717000000033	1.9840999999942142	trials	225.0	1.0	0.05	1.0	1.0
1005.3727999999974	2.000500000001921	trials	90.0	1.0	0.05	1.0	1.0
1009.3738000000012	2.0005999999993946	trials	360.0	1.0	0.05	1.0	1.0
1013.3749000000025	2.000499999994645	trials	270.0	1.0	0.05	1.0	1.0
1017.3760000000038	1.9922999999980675	trials	270.0	1.0	0.05	1.0	1.0
1021.3770999999979	1.9922999999980675	trials	180.0	1.0	0.05	1.0	1.0
1025.3781000000017	1.9923999999955413	trials	270.0	1.0	0.05	1.0	1.0
1029.379200000003	1.9923999999955413	trials	180.0	1.0	0.05	1.0	1.0
1033.380299999997	1.9924000000028173	trials	135.0	1.0	0.05	1.0	1.0
1037.3813999999984	1.9924000000028173	trials	225.0	1.0	0.05	1.0	1.0
1041.3824999999997	1.9924000000028173	trials	270.0	1.0	0.05	1.0	1.0
