onset	duration	nwb_table	angle	cycles_per_second	cycles_per_degree	amplitude	movie_number
188.975999	163.47008	epochs					
190.96839999999793	2.000500000001921	trials	180.0	1.0	0.05	1.0	0.0
194.96949999999924	2.000500000001921	trials	360.0	1.0	0.05	1.0	0.0
198.97060000000056	1.9922999999980675	trials	180.0	1.0	0.05	1.0	0.0
202.9716000000044	1.9923999999955413	trials	135.0	1.0	0.05	1.0	0.0
206.97269999999844	1.9924000000028173	trials	360.0	1.0	0.05	1.0	0.0
210.97379999999976	1.9924000000028173	trials	225.0	1.0	0.05	1.0	0.0
214.97490000000107	1.9924000000028173	trials	45.0	1.0	0.05	1.0	0.0
218.9760000000024	1.9923999999955413	trials	135.0	1.0	0.05	1.0	0.0
222.9771000000037	1.9923999999955413	trials	90.0	1.0	0.05	1.0	0.0
226.97819999999774	1.9842000000062399	trials	225.0	1.0	0.05	1.0	0.0
230.97929999999906	1.984199999998964	trials	45.0	1.0	0.05	1.0	0.0
234.98040000000037	1.984199999998964	trials	315.0	1.0	0.05	1.0	0.0
238.98159999999916	1.9841000000014901	trials	90.0	1.0	0.05	1.0	0.0
242.98270000000048	1.9841000000014901	trials	45.0	1.0	0.05	1.0	0.0
246.9838000000018	2.000499999994645	trials	45.0	1.0	0.05	1.0	0.0
250.98489999999583	2.0006000000066706	trials	225.0	1.0	0.05	1.0	0.0
254.98600000000442	2.0005999999993946	trials	90.0	1.0	0.05	1.0	0.0
258.98709999999846	1.9924000000028173	trials	270.0	1.0	0.05	1.0	0.0
262.98829999999725	1.9923000000053435	trials	315.0	1.0	0.05	1.0	0.0
266.98939999999857	1.9924000000028173	trials	315.0	1.0	0.05	1.0	0.0
270.9904999999999	1.9924000000028173	trials	225.0	1.0	0.05	1.0	0.0
274.9916999999987	1.9922999999980675	trials	135.0	1.0	0.05	1.0	0.0
278.9928	1.9922999999980675	trials	315.0	1.0	0.05	1.0	0.0
282.9939000000013	1.9924000000028173	trials	270.0	1.0	0.05	1.0	0.0
286.9950000000026	1.984199999998964	trials	180.0	1.0	0.05	1.0	0.0
290.9962000000014	1.984199999998964	trials	45.0	1.0	0.05	1.0	0.0
294.9973000000027	1.984199999998964	trials	90.0	1.0	0.05	1.0	0.0
298.9985000000015	2.000499999994645	trials	360.0	1.0	0.05	1.0	0.0
302.99959999999555	2.0006000000066706	trials	135.0	1.0	0.05	1.0	0.0
307.00070000000414	2.0005999999993946	trials	315.0	1.0	0.05	1.0	0.0
311.00190000000293	2.000499999994645	trials	225.0	1.0	0.05	1.0	0.0
315.002999999997	1.9924000000028173	trials	270.0	1.0	0.05	1.0	0.0
319.00419999999576	1.9923000000053435	trials	180.0	1.0	0.05	1.0	0.0
323.00530000000435	1.9923999999955413	trials	360.0	1.0	0.05	1.0	0.0
327.0063999999984	1.9924000000028173	trials	360.0	1.0	0.05	1.0	0.0
331.0075999999972	1.9924000000028173	trials	270.0	1.0	0.05	1.0	0.0
335.0086999999985	1.9924000000028173	trials	90.0	1.0	0.05	1.0	0.0
339.0098999999973	1.984199999998964	trials	180.0	1.0	0.05	1.0	0.0
343.0109999999986	1.984199999998964	trials	135.0	1.0	0.05	1.0	0.0
347.0121999999974	1.9842000000062399	trials	270.0	1.0	0.05	1.0	0.0
